accountid, action, ordertype, quantity, time

"865555483,S,M,1088,2015-07-22 18:07:38"
"865555483,S,M,1088,2015-07-22 18:07:51"
"865555259,S,M,400,2015-07-22 18:07:51"
"865516913,S,M,400,2015-07-22 18:07:51"
"865555483,B,M,1,2015-07-22 18:08:55"
"865555259,B,M,400,2015-07-22 18:08:55"
"865516913,B,M,400,2015-07-22 18:08:55"
"865555483,B,M,1092,2015-07-23 15:43:24"
"865555259,B,M,400,2015-07-23 15:43:24"
"865516913,B,M,400,2015-07-23 15:43:24"
"865555483,B,M,4,2015-07-25 22:42:04"
"865555259,B,M,400,2015-07-25 22:42:05"
"865516913,B,M,400,2015-07-25 22:42:05"
"865555483,B,M,4,2015-07-25 22:46:04"
"865555259,B,M,400,2015-07-25 22:46:05"
"865516913,B,M,400,2015-07-25 22:46:06"
"865555483,B,M,4,2015-07-25 22:50:04"
"865555259,B,M,400,2015-07-25 22:50:05"
"865516913,B,M,400,2015-07-25 22:50:06"
"865555483,B,M,4,2015-07-25 22:54:03"
"865555259,B,M,400,2015-07-25 22:54:04"
"865516913,B,M,400,2015-07-25 22:54:05"
"865555483,B,M,4,2015-07-25 22:56:04"
"865555259,B,M,400,2015-07-25 22:56:05"
"865516913,B,M,400,2015-07-25 22:56:06"
"865555483,B,M,4,2015-07-25 22:58:03"
"865555259,B,M,400,2015-07-25 22:58:04"
"865516913,B,M,400,2015-07-25 22:58:05"
"865555483,B,M,4,2015-07-25 23:07:11"
"865555259,B,M,400,2015-07-25 23:07:12"
"865516913,B,M,400,2015-07-25 23:07:13"
"865555483,B,M,4,2015-07-25 23:08:03"
"865555259,B,M,400,2015-07-25 23:08:04"
"865516913,B,M,400,2015-07-25 23:08:05"
"865555483,S,M,1103,2015-07-25 23:08:09"
"865555483,S,M,1103,2015-07-25 23:09:00"
"865555259,S,M,400,2015-07-25 23:09:01"
"865516913,S,M,400,2015-07-25 23:09:01"
"865555483,S,M,1103,2015-07-25 23:09:05"
"865555259,S,M,400,2015-07-25 23:09:06"
"865516913,S,M,400,2015-07-25 23:09:07"
"865555483,B,M,4,2015-07-25 23:10:06"
"865555259,B,M,400,2015-07-25 23:10:07"
"865516913,B,M,400,2015-07-25 23:10:08"
"865555483,S,M,1103,2015-07-25 23:12:06"
"865555259,S,M,400,2015-07-25 23:12:06"
"865516913,S,M,400,2015-07-25 23:12:07"
"865555483,S,M,1103,2015-07-25 23:17:32"
"865555259,S,M,400,2015-07-25 23:17:32"
"865516913,S,M,400,2015-07-25 23:17:33"
"865555483,B,M,4,2015-07-25 23:18:42"
"865555259,B,M,400,2015-07-25 23:18:42"
"865516913,B,M,400,2015-07-25 23:18:43"
"865555483,S,M,1103,2015-07-25 23:18:54"
"865555259,S,M,400,2015-07-25 23:18:55"
"865516913,S,M,400,2015-07-25 23:18:56"
"865555483,B,M,4,2015-07-25 23:25:21"
"865555259,B,M,400,2015-07-25 23:25:22"
"865516913,B,M,400,2015-07-25 23:25:23"
"865555483,B,M,4,2015-07-25 23:29:20"
"865555259,B,M,400,2015-07-25 23:29:20"
"865516913,B,M,400,2015-07-25 23:29:21"
"865555259,B,M,400,2015-07-25 23:35:06"
"865555483,B,M,4,2015-07-25 23:35:49"
"865555259,B,M,400,2015-07-25 23:35:50"
"865516913,B,M,400,2015-07-25 23:35:51"
"865555483,S,M,1103,2015-07-25 23:36:47"
"865555259,S,M,400,2015-07-25 23:36:48"
"865516913,S,M,400,2015-07-25 23:36:49"
"865555483,B,M,4,2015-07-25 23:38:26"
"865555259,B,M,400,2015-07-25 23:38:26"
"865516913,B,M,400,2015-07-25 23:38:28"
"865555483,B,M,1,2015-07-25 23:56:07"
"865555483,B,M,1,2015-07-25 23:56:15"
"865555483,B,M,1,2015-07-25 23:56:22"
"865555483,B,M,4,2015-07-26 00:03:41"
"865555259,B,M,400,2015-07-26 00:03:42"
"865516913,B,M,400,2015-07-26 00:03:43"
"865555483,S,M,1103,2015-07-26 00:04:24"
"865555259,S,M,400,2015-07-26 00:04:26"
"865516913,S,M,400,2015-07-26 00:04:27"
"865555483,S,M,1103,2015-07-26 07:45:06"
"865555259,S,M,400,2015-07-26 07:45:07"
"865516913,S,M,400,2015-07-26 07:45:08"
"865555483,B,M,4,2015-07-26 16:09:04"
"865555259,B,M,400,2015-07-26 16:09:05"
"865516913,B,M,400,2015-07-26 16:09:06"
"865555483,S,M,1103,2015-07-27 08:02:06"
"865555259,S,M,400,2015-07-27 08:02:07"
"865516913,S,M,400,2015-07-27 08:02:08"
"865555483,B,M,1105,2015-07-27 15:45:05"
"865555259,B,M,400,2015-07-27 15:45:06"
"865516913,B,M,400,2015-07-27 15:45:07"
"865555483,S,M,1105,2015-07-27 22:34:10"
"865555259,S,M,400,2015-07-27 22:34:11"
"865516913,S,M,400,2015-07-27 22:34:12"
"865555483,S,M,1105,2015-07-27 22:35:16"
"865555259,S,M,400,2015-07-27 22:35:18"
"865516913,S,M,400,2015-07-27 22:35:20"
"865555483,S,M,1105,2015-07-27 22:38:18"
"865555259,S,M,400,2015-07-27 22:38:20"
"865516913,S,M,400,2015-07-27 22:38:22"
"865516913,B,M,400,2015-07-27 22:40:59"
"865555483,B,M,4,2015-07-27 22:50:08"
"865555259,B,M,400,2015-07-27 22:50:10"
"865555483,S,M,1105,2015-07-28 07:46:08"
"865555259,S,M,400,2015-07-28 07:46:09"
"865516913,S,M,400,2015-07-28 07:46:10"
"865555483,B,M,1103,2015-07-28 15:46:08"
"865555259,B,M,400,2015-07-28 15:46:10"
"865516913,B,M,400,2015-07-28 15:46:11"
"865555483,S,M,1103,2015-07-29 07:46:09"
"865555259,S,M,400,2015-07-29 07:46:10"
"865516913,S,M,400,2015-07-29 07:46:11"
"865555483,B,M,1105,2015-07-29 15:46:07"
"865555259,B,M,400,2015-07-29 15:46:09"
"865516913,B,M,400,2015-07-29 15:46:10"
"865555483,S,M,1105,2015-07-30 07:46:08"
"865555259,S,M,400,2015-07-30 07:46:10"
"865516913,S,M,400,2015-07-30 07:46:11"
"865555483,B,M,605,2015-07-30 15:46:06"
"865555259,B,M,400,2015-07-30 15:46:07"
"865516913,B,M,400,2015-07-30 15:46:08"
"865555483,S,M,1105,2015-07-31 07:46:11"
"865555259,S,M,400,2015-07-31 07:46:12"
"865516913,S,M,400,2015-07-31 07:46:14"
"865555483,B,M,1113,2015-07-31 15:46:06"
"865555259,B,M,400,2015-07-31 15:46:07"
"865516913,B,M,400,2015-07-31 15:46:09"
"865555483,S,M,1113,2015-08-03 07:46:07"
"865555259,S,M,400,2015-08-03 07:46:09"
"865516913,S,M,400,2015-08-03 07:46:11"
"865555483,B,M,1146,2015-08-03 15:46:07"
"865555259,B,M,400,2015-08-03 15:46:08"
"865516913,B,M,400,2015-08-03 15:46:10"
"865555483,S,M,1146,2015-08-04 07:46:08"
"865555259,S,M,400,2015-08-04 07:46:10"
"865516913,S,M,400,2015-08-04 07:46:12"
"865555483,B,M,1173,2015-08-04 15:46:06"
"865555259,B,M,400,2015-08-04 15:46:08"
"865516913,B,M,400,2015-08-04 15:46:09"
"865555483,S,M,1173,2015-08-05 08:14:08"
"865555259,S,M,400,2015-08-05 08:14:09"
"865516913,S,M,400,2015-08-05 08:14:11"
"865555483,B,M,1143,2015-08-05 15:46:06"
"865555259,B,M,400,2015-08-05 15:46:07"
"865516913,B,M,400,2015-08-05 15:46:08"
"865555483,S,M,1143,2015-08-06 08:14:07"
"865555259,S,M,400,2015-08-06 08:14:08"
"865516913,S,M,400,2015-08-06 08:14:10"
"865555483,B,M,1152,2015-08-06 15:46:06"
"865555259,B,M,400,2015-08-06 15:46:08"
"865516913,B,M,400,2015-08-06 15:46:09"
"865555483,S,M,1152,2015-08-07 08:14:07"
"865555259,S,M,400,2015-08-07 08:14:08"
"865516913,S,M,400,2015-08-07 08:14:10"
"865555483,B,M,1145,2015-08-07 15:46:05"
"865555259,B,M,400,2015-08-07 15:46:07"
"865516913,B,M,400,2015-08-07 15:46:09"
"865555483,S,M,1145,2015-08-10 08:14:13"
"865555259,S,M,400,2015-08-10 08:14:15"
"865516913,S,M,400,2015-08-10 08:14:17"
"865555483,B,M,1116,2015-08-10 15:46:08"
"865555259,B,M,400,2015-08-10 15:46:09"
"865516913,B,M,400,2015-08-10 15:46:11"
"865555483,S,M,1116,2015-08-11 08:14:08"
"865555259,S,M,400,2015-08-11 08:14:10"
"865516913,S,M,400,2015-08-11 08:14:11"
"865555483,B,M,134,2015-08-11 15:46:06"
"865555259,B,M,400,2015-08-11 15:46:07"
"865516913,B,M,400,2015-08-11 15:46:41"
"865555483,S,M,1134,2015-08-12 08:14:09"
"865555259,S,M,400,2015-08-12 08:14:11"
"865516913,S,M,400,2015-08-12 08:14:12"
"865555483,B,M,622,2015-08-12 15:48:06"
"865555259,B,M,400,2015-08-12 15:48:07"
"865516913,B,M,400,2015-08-12 15:48:08"
"865555259,S,M,400,2015-08-13 08:14:10"
"865516913,S,M,400,2015-08-13 08:14:11"
"865555483,B,M,605,2015-08-13 15:49:06"
"865555259,B,M,400,2015-08-13 15:49:07"
"865516913,B,M,400,2015-08-13 15:49:08"
"865555483,S,M,1127,2015-08-14 08:14:07"
"865555259,S,M,400,2015-08-14 08:14:08"
"865516913,S,M,400,2015-08-14 08:14:09"
"865555483,B,M,619,2015-08-14 15:45:05"
"865555259,B,M,400,2015-08-14 15:45:06"
"865516913,B,M,400,2015-08-14 15:45:07"
"865555483,S,M,119,2015-08-17 08:14:08"
"865555259,S,M,400,2015-08-17 08:14:09"
"865516913,S,M,400,2015-08-17 08:14:10"
"865555483,B,M,1101,2015-08-17 15:45:06"
"865555259,B,M,400,2015-08-17 15:45:07"
"865516913,B,M,400,2015-08-17 15:45:08"
"865555483,S,M,1101,2015-08-18 08:14:08"
"865555259,S,M,400,2015-08-18 08:14:10"
"865516913,S,M,400,2015-08-18 08:14:11"
"865555483,B,M,1100,2015-08-18 15:45:07"
"865555259,B,M,400,2015-08-18 15:45:08"
"865516913,B,M,400,2015-08-18 15:45:10"
"865555483,S,M,1100,2015-08-19 08:14:08"
"865555259,S,M,400,2015-08-19 08:14:10"
"865516913,S,M,400,2015-08-19 08:14:12"
"865555483,S,M,1100,2015-08-20 08:14:08"
"865555259,S,M,400,2015-08-20 08:14:09"
"865516913,S,M,400,2015-08-20 08:14:10"
